ID,condition,freq,phase
8,H_syncopated,1.250,-2.373609
8,H_syncopated,1.667,-0.568330
8,H_syncopated,2.083,-0.824241
8,H_syncopated,2.500,-2.535906
8,H_syncopated,2.917,0.315992
8,H_syncopated,3.333,-0.574085
8,H_syncopated,3.750,-1.729313
8,H_syncopated,4.167,0.431363
8,H_syncopated,4.583,0.515730
8,H_syncopated,5.000,-0.471468
9,H_syncopated,0.417,-1.474643
9,H_syncopated,0.833,2.730485
9,H_syncopated,1.250,-0.950872
9,H_syncopated,1.667,-2.426908
9,H_syncopated,2.083,-2.164655
9,H_syncopated,2.500,-1.949444
9,H_syncopated,2.917,-1.722369
9,H_syncopated,3.333,-2.374577
9,H_syncopated,3.750,-2.691267
9,H_syncopated,4.167,0.219181
9,H_syncopated,4.583,0.503410
9,H_syncopated,5.000,-0.499447
10,H_syncopated,0.417,0.683508
10,H_syncopated,0.833,0.885589
10,H_syncopated,1.250,-2.857107
10,H_syncopated,1.667,1.050520
10,H_syncopated,2.083,-1.481524
10,H_syncopated,2.500,-2.890620
10,H_syncopated,2.917,-2.782973
10,H_syncopated,3.333,-2.006186
10,H_syncopated,3.750,-2.610956
10,H_syncopated,4.167,0.137264
10,H_syncopated,4.583,-0.631550
10,H_syncopated,5.000,-1.049852
11,H_syncopated,0.417,0.821486
11,H_syncopated,0.833,1.357191
11,H_syncopated,1.250,1.108400
11,H_syncopated,1.667,2.213008
11,H_syncopated,2.083,-0.811931
11,H_syncopated,2.500,-1.568582
11,H_syncopated,2.917,-1.632019
11,H_syncopated,3.333,1.155660
11,H_syncopated,3.750,-1.561057
11,H_syncopated,4.167,1.199043
11,H_syncopated,4.583,1.112608
11,H_syncopated,5.000,-1.766377
12,H_syncopated,0.417,-0.261416
12,H_syncopated,0.833,0.945482
12,H_syncopated,1.250,-1.767616
12,H_syncopated,1.667,1.236036
12,H_syncopated,2.083,-0.303184
12,H_syncopated,2.500,-2.077475
12,H_syncopated,2.917,0.076592
12,H_syncopated,3.333,0.405088
12,H_syncopated,3.750,0.670744
12,H_syncopated,4.167,0.686719
12,H_syncopated,4.583,0.334715
12,H_syncopated,5.000,-1.513960
13,H_syncopated,0.417,0.272289
13,H_syncopated,0.833,1.113097
13,H_syncopated,1.250,1.656441
13,H_syncopated,1.667,-0.286302
13,H_syncopated,2.083,-0.794969
13,H_syncopated,2.500,-2.406740
13,H_syncopated,2.917,-1.910110
13,H_syncopated,3.333,-2.057513
