"ID","condition","binshift","freq","r"
"1","H_unsyncopated","2","1.25","0.55798"
"1","H_unsyncopated","2","1.667","0.225985"
"1","H_unsyncopated","2","2.083","0.586353"
"1","H_unsyncopated","2","2.5","0.16621"
"1","H_unsyncopated","2","2.917","0.383271"
"1","H_unsyncopated","2","3.333","0.077533"
"1","H_unsyncopated","2","3.75","0.186194"
"1","H_unsyncopated","2","4.167","0.663008"
"1","H_unsyncopated","2","4.583","0.203557"
"1","H_unsyncopated","2","5","0.52244"
"1","H_unsyncopated","3","0.417","0.339643"
"1","H_unsyncopated","3","0.833","0.09421"
"1","H_unsyncopated","3","1.25","0.100173"
"1","H_unsyncopated","3","1.667","0.557845"
"1","H_unsyncopated","3","2.083","0.331959"
"1","H_unsyncopated","3","2.5","0.474105"
"1","H_unsyncopated","3","2.917","0.29411"
"1","H_unsyncopated","3","3.333","0.39814"
"1","H_unsyncopated","3","3.75","0.231648"
"1","H_unsyncopated","3","4.167","0.120622"
"1","H_unsyncopated","3","4.583","0.355314"
"1","H_unsyncopated","3","5","0.351161"
"1","H_unsyncopated","4","0.417","0.463201"
"1","H_unsyncopated","4","0.833","0.513833"
"1","H_unsyncopated","4","1.25","0.370037"
"1","H_unsyncopated","4","1.667","0.128998"
"1","H_unsyncopated","4","2.083","0.273849"
"1","H_unsyncopated","4","2.5","0.330119"
"1","H_unsyncopated","4","2.917","0.300355"
"1","H_unsyncopated","4","3.333","0.564246"
"1","H_unsyncopated","4","3.75","0.411947"
"1","H_unsyncopated","4","4.167","0.445677"
"1","H_unsyncopated","4","4.583","0.546567"
"1","H_unsyncopated","4","5","0.417676"
"1","H_unsyncopated","5","0.417","0.747827"
"1","H_unsyncopated","5","0.833","0.327462"
"1","H_unsyncopated","5","1.25","0.096627"
"1","H_unsyncopated","5","1.667","0.532545"
"1","H_unsyncopated","5","2.083","0.226973"
"1","H_unsyncopated","5","2.5","0.742254"
"1","H_unsyncopated","5","2.917","0.508976"
"1","H_unsyncopated","5","3.333","0.617764"
"1","H_unsyncopated","5","3.75","0.229356"
"1","H_unsyncopated","5","4.167","0.30886"
"1","H_unsyncopated","5","4.583","0.312462"
"1","H_unsyncopated","5","5","0.316733"
"1","H_unsyncopated","6","0.417","0.5134"
"1","H_unsyncopated","6","0.833","0.351042"
"1","H_unsyncopated","6","1.25","0.345352"
"1","H_unsyncopated","6","1.667","0.274201"
"1","H_unsyncopated","6","2.083","0.226439"
"1","H_unsyncopated","6","2.5","0.352497"
"1","H_unsyncopated","6","2.917","0.118594"
"1","H_unsyncopated","6","3.333","0.373416"
"1","H_unsyncopated","6","3.75","0.461998"
"1","H_unsyncopated","6","4.167","0.321802"
"1","H_unsyncopated","6","4.583","0.598921"
"1","H_unsyncopated","6","5","0.25103"
"1","H_unsyncopated","7","0.417","0.106137"
"1","H_unsyncopated","7","0.833","0.282849"
"1","H_unsyncopated","7","1.25","0.321822"
"1","H_unsyncopated","7","1.667","0.344229"
"1","H_unsyncopated","7","2.083","0.278698"
"1","H_unsyncopated","7","2.5","0.551514"
"1","H_unsyncopated","7","2.917","0.10292"
"1","H_unsyncopated","7","3.333","0.381958"
"1","H_unsyncopated","7","3.75","0.553017"
"1","H_unsyncopated","7","4.167","0.616737"
"1","H_unsyncopated","7","4.583","0.674903"
"1","H_unsyncopated","7","5","0.148038"
"1","H_unsyncopated","8","0.417","0.553975"
"1","H_unsyncopated","8","0.833","0.674442"
"1","H_unsyncopated","8","1.25","0.208231"
"1","H_unsyncopated","8","1.667","0.330408"
"1","H_unsyncopated","8","2.083","0.28986"
"1","H_unsyncopated","8","2.5","0.595988"
"1","H_unsyncopated","8","2.917","0.332749"
"1","H_unsyncopated","8","3.333","0.661949"
"1","H_unsyncopated","8","3.75","0.649907"
"1","H_unsyncopated","8","4.167","0.588935"
"1","H_unsyncopated","8","4.583","0.241836"
"1","H_unsyncopated","8","5","0.352944"
"1","H_unsyncopated","9","0.417","0.717101"
"1","H_unsyncopated","9","0.833","0.46183"
"1","H_unsyncopated","9","1.25","0.5593"
"1","H_unsyncopated","9","1.667","0.380941"
"1","H_unsyncopated","9","2.083","0.325127"
"1","H_unsyncopated","9","2.5","0.161936"
"1","H_unsyncopated","9","2.917","0.602911"
"1","H_unsyncopated","9","3.333","0.681605"
"1","H_unsyncopated","9","3.75","0.726638"
"1","H_unsyncopated","9","4.167","0.178581"
"1","H_unsyncopated","9","4.583","0.03235"
"1","H_unsyncopated","9","5","0.466983"
"1","H_unsyncopated","10","0.417","0.191223"
"1","H_unsyncopated","10","0.833","0.197175"
"1","H_unsyncopated","10","1.25","0.254696"
"1","H_unsyncopated","10","1.667","0.491778"
"1","H_unsyncopated","10","2.083","0.387766"
"1","H_unsyncopated","10","2.5","0.728381"
"1","H_unsyncopated","10","2.917","0.774432"
"1","H_unsyncopated","10","3.333","0.277133"
"1","H_unsyncopated","10","3.75","0.394432"
"1","H_unsyncopated","10","4.167","0.267964"
"1","H_unsyncopated","10","4.583","0.391914"
"1","H_unsyncopated","10","5","0.408975"
"1","H_unsyncopated","11","0.417","0.281456"
"1","H_unsyncopated","11","0.833","0.806458"
"1","H_unsyncopated","11","1.25","0.198001"
"1","H_unsyncopated","11","1.667","0.221573"
"1","H_unsyncopated","11","2.083","0.59116"
"1","H_unsyncopated","11","2.5","0.364172"
"1","H_unsyncopated","11","2.917","0.286669"
"1","H_unsyncopated","11","3.333","0.320926"
"1","H_unsyncopated","11","3.75","0.610933"
"1","H_unsyncopated","11","4.167","0.563246"
"1","H_unsyncopated","11","4.583","0.886859"
"1","H_unsyncopated","11","5","0.525194"
"1","H_unsyncopated","12","0.417","0.28937"
"1","H_unsyncopated","12","0.833","0.165058"
"1","H_unsyncopated","12","1.25","0.505829"
"1","H_unsyncopated","12","1.667","0.551337"
"1","H_unsyncopated","12","2.083","0.638423"
"1","H_unsyncopated","12","2.5","0.29462"
"1","H_unsyncopated","12","2.917","0.127911"
"1","H_unsyncopated","12","3.333","0.161645"
"1","H_unsyncopated","12","3.75","0.479226"
"1","H_unsyncopated","12","4.167","0.451292"
"1","H_unsyncopated","12","4.583","0.382072"
"1","H_unsyncopated","12","5","0.301419"
"1","H_unsyncopated","13","0.417","0.165973"
"1","H_unsyncopated","13","0.833","0.49885"
"1","H_unsyncopated","13","1.25","0.626218"
"1","H_unsyncopated","13","1.667","0.27655"
"1","H_unsyncopated","13","2.083","0.246879"
"1","H_unsyncopated","13","2.5","0.741424"
"1","H_unsyncopated","13","2.917","0.470575"
"1","H_unsyncopated","13","3.333","0.354549"
"1","H_unsyncopated","13","3.75","0.170622"
"1","H_unsyncopated","13","4.167","0.58409"
"1","H_unsyncopated","13","4.583","0.246753"
"1","H_unsyncopated","13","5","0.522486"
"1","H_unsyncopated","14","0.417","0.259022"
"1","H_unsyncopated","14","0.833","0.384481"
"1","H_unsyncopated","14","1.25","0.144347"
"1","H_unsyncopated","14","1.667","0.527511"
"1","H_unsyncopated","14","2.083","0.150499"
"1","H_unsyncopated","14","2.5","0.297699"
"1","H_unsyncopated","14","2.917","0.389877"
"1","H_unsyncopated","14","3.333","0.170525"
"1","H_unsyncopated","14","3.75","0.231099"
"1","H_unsyncopated","14","4.167","0.359176"
"1","H_unsyncopated","14","4.583","0.670483"
"1","H_unsyncopated","14","5","0.315732"
"1","H_unsyncopated","15","0.417","0.61724"
"1","H_unsyncopated","15","0.833","0.524404"
"1","H_unsyncopated","15","1.25","0.378874"
"1","H_unsyncopated","15","1.667","0.536194"
"1","H_unsyncopated","15","2.083","0.425479"
"1","H_unsyncopated","15","2.5","0.413152"
"1","H_unsyncopated","15","2.917","0.420519"
"1","H_unsyncopated","15","3.333","0.467271"
"1","H_unsyncopated","15","3.75","0.405353"
"1","H_unsyncopated","15","4.167","0.482281"
"1","H_unsyncopated","15","4.583","0.325289"
"1","H_unsyncopated","15","5","0.316078"
"1","H_unsyncopated","16","0.417","0.624579"
"1","H_unsyncopated","16","0.833","0.890513"
"1","H_unsyncopated","16","1.25","0.331287"
"1","H_unsyncopated","16","1.667","0.567436"
"1","H_unsyncopated","16","2.083","0.267781"
"1","H_unsyncopated","16","2.5","0.698192"
"1","H_unsyncopated","16","2.917","0.452664"
"1","H_unsyncopated","16","3.333","0.549944"
"1","H_unsyncopated","16","3.75","0.430241"
"1","H_unsyncopated","16","4.167","0.244331"
"1","H_unsyncopated","16","4.583","0.507036"
"1","H_unsyncopated","16","5","0.433541"
"1","H_unsyncopated","17","0.417","0.627127"
"1","H_unsyncopated","17","0.833","0.558593"
"1","H_unsyncopated","17","1.25","0.135943"
"1","H_unsyncopated","17","1.667","0.481131"
"1","H_unsyncopated","17","2.083","0.465326"
"1","H_unsyncopated","17","2.5","0.273849"
"1","H_unsyncopated","17","2.917","0.428682"
"1","H_unsyncopated","17","3.333","0.468236"
"1","H_unsyncopated","17","3.75","0.52523"
"1","H_unsyncopated","17","4.167","0.265656"
"1","H_unsyncopated","17","4.583","0.546381"
"1","H_unsyncopated","17","5","0.551107"
"1","H_unsyncopated","18","0.417","0.351261"
"1","H_unsyncopated","18","0.833","0.431758"
"1","H_unsyncopated","18","1.25","0.523649"
"1","H_unsyncopated","18","1.667","0.246491"
"1","H_unsyncopated","18","2.083","0.516063"
"1","H_unsyncopated","18","2.5","0.383137"
"1","H_unsyncopated","18","2.917","0.431736"
"1","H_unsyncopated","18","3.333","0.126605"
"1","H_unsyncopated","18","3.75","0.363075"
"1","H_unsyncopated","18","4.167","0.330076"
"1","H_unsyncopated","18","4.583","0.334973"
"1","H_unsyncopated","18","5","0.382676"
"1","H_unsyncopated","19","0.417","0.119925"
"1","H_unsyncopated","19","0.833","0.320947"
"1","H_unsyncopated","19","1.25","0.420998"
"1","H_unsyncopated","19","1.667","0.405287"
"1","H_unsyncopated","19","2.083","0.105417"
"1","H_unsyncopated","19","2.5","0.401765"
"1","H_unsyncopated","19","2.917","0.13447"
"1","H_unsyncopated","19","3.333","0.469139"
"1","H_unsyncopated","19","3.75","0.411183"
"1","H_unsyncopated","19","4.167","0.382836"
"1","H_unsyncopated","19","4.583","0.564054"
"1","H_unsyncopated","19","5","0.3237"
"1","H_unsyncopated","20","0.417","0.516883"
"1","H_unsyncopated","20","0.833","0.253086"
"1","H_unsyncopated","20","1.25","0.138712"
"1","H_unsyncopated","20","1.667","0.036219"
"1","H_unsyncopated","20","2.083","0.436061"
"1","H_unsyncopated","20","2.5","0.483406"
"1","H_unsyncopated","20","2.917","0.161867"
"1","H_unsyncopated","20","3.333","0.38488"
"1","H_unsyncopated","20","3.75","0.41301"
"1","H_unsyncopated","20","4.167","0.338426"
"1","H_unsyncopated","20","4.583","0.346004"
"1","H_unsyncopated","20","5","0.621505"
"2","H_unsyncopated","0","0.417","0.630916"
"2","H_unsyncopated","0","0.833","0.036844"
"2","H_unsyncopated","0","1.25","0.767264"
"2","H_unsyncopated","0","1.667","0.349647"
"2","H_unsyncopated","0","2.083","0.554451"
"2","H_unsyncopated","0","2.5","0.379173"
"2","H_unsyncopated","0","2.917","0.374334"
"2","H_unsyncopated","0","3.333","0.445241"
"2","H_unsyncopated","0","3.75","0.68256"
"2","H_unsyncopated","0","4.167","0.751095"
"2","H_unsyncopated","0","4.583","0.336472"
"2","H_unsyncopated","0","5","0.976402"
"2","H_unsyncopated","-20","0.417","0.355293"
"2","H_unsyncopated","-20","0.833","0.454116"
"2","H_unsyncopated","-20","1.25","0.273046"
"2","H_unsyncopated","-20","1.667","0.23859"
"2","H_unsyncopated","-20","2.083","0.509639"
"2","H_unsyncopated","-20","2.5","0.18312"
"2","H_unsyncopated","-20","2.917","0.621675"
"2","H_unsyncopated","-20","3.333","0.492725"
"2","H_unsyncopated","-20","3.75","0.686515"
"2","H_unsyncopated","-20","4.167","0.664209"
"2","H_unsyncopated","-20","4.583","0.585792"
"2","H_unsyncopated","-20","5","0.228844"
"2","H_unsyncopated","-19","0.417","0.724658"
"2","H_unsyncopated","-19","0.833","0.56602"
"2","H_unsyncopated","-19","1.25","0.382147"
"2","H_unsyncopated","-19","1.667","0.30461"
"2","H_unsyncopated","-19","2.083","0.327738"
"2","H_unsyncopated","-19","2.5","0.315323"
"2","H_unsyncopated","-19","2.917","0.269265"
"2","H_unsyncopated","-19","3.333","0.349098"
"2","H_unsyncopated","-19","3.75","0.597938"
"2","H_unsyncopated","-19","4.167","0.109972"
"2","H_unsyncopated","-19","4.583","0.408971"
"2","H_unsyncopated","-19","5","0.565488"
"2","H_unsyncopated","-18","0.417","0.746175"
"2","H_unsyncopated","-18","0.833","0.391483"
"2","H_unsyncopated","-18","1.25","0.20847"
"2","H_unsyncopated","-18","1.667","0.452258"
"2","H_unsyncopated","-18","2.083","0.459382"
"2","H_unsyncopated","-18","2.5","0.380364"
"2","H_unsyncopated","-18","2.917","0.100389"
"2","H_unsyncopated","-18","3.333","0.644833"
"2","H_unsyncopated","-18","3.75","0.326187"
"2","H_unsyncopated","-18","4.167","0.384636"
"2","H_unsyncopated","-18","4.583","0.545616"
"2","H_unsyncopated","-18","5","0.45007"
"2","H_unsyncopated","-17","0.417","0.706692"
"2","H_unsyncopated","-17","0.833","0.674132"
"2","H_unsyncopated","-17","1.25","0.324244"
"2","H_unsyncopated","-17","1.667","0.392152"
"2","H_unsyncopated","-17","2.083","0.476963"
"2","H_unsyncopated","-17","2.5","0.221854"
"2","H_unsyncopated","-17","2.917","0.515319"
"2","H_unsyncopated","-17","3.333","0.479912"
"2","H_unsyncopated","-17","3.75","0.569615"
"2","H_unsyncopated","-17","4.167","0.512956"
"2","H_unsyncopated","-17","4.583","0.138953"
"2","H_unsyncopated","-17","5","0.252526"
"2","H_unsyncopated","-16","0.417","0.70245"
"2","H_unsyncopated","-16","0.833","0.214493"
"2","H_unsyncopated","-16","1.25","0.485241"
"2","H_unsyncopated","-16","1.667","0.428981"
